Сountry,Product Name,Sum of sales,Profit After Shipping,Weighted Discount,Max Discount (Break-even),Discount Gap,Recommendation
Australia,"Binney & Smith Highlighters, Blue",60,-61.31,40.00%,-21.31%,61.31%,Increase price
Australia,"Ibico Binder, Economy",37,-14.77,40.00%,16.05%,23.95%,Reduce discount
Australia,"SanDisk Flash Drive, Programmable",111,-1.3499999999999996,10.00%,8.91%,1.09%,Adjust discount
Australia,"Stockwell Staples, Metal",6,-5.68,40.00%,-16.80%,56.80%,Increase price
Brazil,"Hon Conference Table, Adjustable Height",493,-499.56,60.00%,19.47%,40.53%,Reduce discount
Brazil,"Jiffy Interoffice Envelope, Set of 50",74,-114.9,60.00%,-2.11%,62.11%,Increase price
China,"Acme Ruler, Easy Grip",9,-8.71,50.00%,1.61%,48.39%,Reduce discount
China,"Bevis Computer Table, Fully Assembled",692,-278.66999999999996,30.00%,1.81%,28.19%,Reduce discount
Denmark,"Acco Binding Machine, Economy",26,-13.29,50.00%,24.44%,25.56%,Reduce discount
Denmark,"Hon Shipping Labels, Laser Printer Compatible",17,-7.92,50.00%,26.71%,23.29%,Reduce discount
Dominican Republic,"BIC Pens, Blue",30,-9.29,20.00%,-4.77%,24.77%,Increase price
Dominican Republic,"Hon Swivel Stool, Set of Two",265,-20.340000000000003,20.00%,13.86%,6.14%,Adjust discount
Dominican Republic,"Ibico Binding Machine, Durable",85,-28.669999999999998,20.00%,-6.98%,26.98%,Increase price
France,"Binney & Smith Sketch Pad, Blue",116,-59.56,50.00%,24.33%,25.67%,Reduce discount
France,"Cardinal Binder, Economy",41,-14.870000000000001,50.00%,31.87%,18.13%,Reduce discount
France,"Hewlett Copy Machine, Color",550,-332.61,65.00%,43.83%,21.17%,Reduce discount
France,"Ikea Classic Bookcase, Metal",987,-1077.28,60.00%,16.34%,43.66%,Reduce discount
France,"Konica Phone, White",89,-89.05,65.00%,29.98%,35.02%,Reduce discount
France,"Kraft Clasp Envelope, Recycled",12,-9.76,50.00%,9.33%,40.67%,Reduce discount
France,"Logitech Numeric Keypad, Erganomic",44,-14.190000000000001,50.00%,33.88%,16.13%,Reduce discount
France,"Safco Stackable Bookrack, Mobile",119,-167.83,60.00%,3.59%,56.41%,Reduce discount
France,"SanDisk Memo Slips, Multicolor",46,-48.199999999999996,50.00%,-2.39%,52.39%,Increase price
Germany,"Avery Binder Covers, Clear",26,-23.28,50.00%,5.23%,44.77%,Reduce discount
Germany,"HP Fax and Copier, Digital",86,-16.58,50.00%,40.36%,9.64%,Adjust discount
Germany,"Motorola Signal Booster, Cordless",584,-167.7,50.00%,35.64%,14.36%,Reduce discount
Germany,"Tenex File Cart, Industrial",215,-280.88,60.00%,7.74%,52.26%,Reduce discount
Germany,"Xerox Note Cards, Premium",13,-9.77,50.00%,12.42%,37.58%,Reduce discount
Indonesia,"Advantus Clock, Black",188,-13.299999999999999,27.00%,21.84%,5.16%,Adjust discount
Indonesia,"Advantus Staples, Metal",41,-29.72,47.00%,8.58%,38.42%,Reduce discount
Indonesia,"Apple Audio Dock, VoIP",554,-2.3800000000000026,17.00%,16.64%,0.36%,Adjust discount
Indonesia,"Avery Hole Reinforcements, Durable",5,-0.31,17.00%,11.85%,5.15%,Adjust discount
Indonesia,"Binney & Smith Canvas, Blue",150,-70.5,27.00%,-7.31%,34.31%,Increase price
Indonesia,"Cameo Clasp Envelope, Security-Tint",82,-23.060000000000002,47.00%,32.10%,14.90%,Reduce discount
Indonesia,"Cameo Interoffice Envelope, Security-Tint",132,-14.870000000000001,47.00%,41.03%,5.97%,Adjust discount
Indonesia,"Cisco Signal Booster, with Caller ID",252,-5.1499999999999995,17.00%,15.30%,1.70%,Adjust discount
Indonesia,"Fellowes Box, Industrial",50,-0.1900000000000004,17.00%,16.68%,0.32%,Adjust discount
Indonesia,"Kleencut Box Cutter, Steel",90,-56.08,47.00%,13.98%,33.02%,Reduce discount
Indonesia,"Motorola Signal Booster, Full Size",240,-46.59,17.00%,0.89%,16.11%,Reduce discount
Indonesia,"Novimex Executive Leather Armchair, Black",334,-202.61,27.00%,-17.28%,44.28%,Increase price
Indonesia,"Sanford Canvas, Easy-Erase",334,-10.089999999999998,27.00%,24.79%,2.21%,Adjust discount
Indonesia,"Stanley Markers, Fluorescent",51,-21.14,27.00%,-3.26%,30.26%,Increase price
Italy,"Fellowes Folders, Blue",48,-7.3100000000000005,40.00%,30.86%,9.14%,Adjust discount
Italy,"Harbour Creations Swivel Stool, Set of Two",73,-86.42,60.00%,12.65%,47.35%,Reduce discount
Italy,"Office Star Bag Chairs, Set of Two",69,-107.9,60.00%,-2.55%,62.55%,Increase price
Italy,"Rogers Lockers, Single Width",889,-37.230000000000004,40.00%,37.49%,2.51%,Adjust discount
Mexico,"Bush Library with Doors, Mobile",196,-51.33,20.00%,-0.95%,20.95%,Increase price
Mexico,"Dania Floating Shelf Set, Traditional",452,-165.05,20.00%,-9.21%,29.21%,Increase price
Myanmar (Burma),"Brother Ink, Laser",278,-127.3,37.00%,8.15%,28.85%,Reduce discount
Netherlands,"GlobeWeis Manila Envelope, Set of 50",55,-24.37,50.00%,27.85%,22.15%,Reduce discount
Netherlands,"Green Bar Cards & Envelopes, Multicolor",50,-39.37,50.00%,10.63%,39.37%,Reduce discount
Netherlands,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",22,-13.59,50.00%,19.11%,30.89%,Reduce discount
Netherlands,"Rogers Trays, Wire Frame",91,-16.48,50.00%,40.95%,9.05%,Adjust discount
